REALID,Q28
1590604072,NA
1590610418,nothiing
1590557940,nothing
1590601631,"The music at the Mercedes Benz and Lexus displays was great, but it was far from the main showroom."
1590604288,Dessert and we couldn't find the coffee.
1590605079,late
1590600005,"Nothing, I thought it was a wonderful night!"
1590579753,Bright lighting
1590607356,No ice cream Sunday's!!!
1590602506,Parking...
1590598449,Parking
1590609857,"For the price of the ticket, you would normally expect a sit down dinner."
1590609097,Not being able to enter the Dub section to see the modified cars.
1590604650,Na
1590580777,thought it was going to be more elaborate with tray service and more finger food that was easier to eat.
1590575736,food was only mediocre.
1590598266,lines---drink stations at entrance are always packed-need more/bigger at that location.  detracts from car viewing time.  Drink glasses too small.  we went to mid-show where booths were almost empty.  Need to rethink distribution of services.
1590602043,My shoes!
1590598746,NULL
1590606051,the walk from the entrance to the show room!
1590603496,nothing
1590578078,Na
1590605699,"long lines at beverage stations, food stations ran out of utensils at times"
1590599033,Sometimes hard to find a place to sit comfortably.
1590579548,Na
1590598050,the lines at the entrance for drinks were a bit long in the car show area in the tailgate area the drink lines were a bit better.
1590604411,Waiting in line for drinks
1590598928,"There wasn't enough time to see and do everything that was available that night.  That's a great benefit, but you need to get there early to make sure you can take advantage of all that the Black Tie Gala has to offer."
1590575710,Lack of tables to sit down
1590611317,Waiting for food and beverages and not enough selection for food.
1590604932,The wait for drinks was at times too long.
1590602613,The protest conducted out front.
1590608263,The protest outside
1590605038,Could not identify how to get the discount parking until leaving.
1590607125,N/A
1590610152,there should have been more interactive kiosks especially with the high end cars
1590580298,To spread out
1590606515,Needed more seating
1590601433,that it had to end
1590601334,Lack of seating
1590607117,Lexis and Mercedes and band were far distant
1590601276,Nothing.
1590604643,Desserts
1590577054,The variety and quality of food.
1590602175,The dance floor was not big enough.
1590560175,Nothing
1590609865,All the walking and standing
1590610145,not enough places to sit in back where band playes or on the show floor o just sit and rela instead of the seats at tables
1590605707,at the end the closed a hallway to get downstairs and we had to walk outside without our coats and through the entire building again
1590609568,The wait for the tacos.
1590598381,Placement of some of the food and drink stations made it difficult to get around at times
1590614287,"Not enough seating. I love Jose Garces, but I would have enjoyed more variety in the food offerings."
1590614626,Line at taco station
1590614378,food offerings
1590607836,couldn't find the lexus and merceds dance floor
1590599330,The food was just OK.
1590570026,"I didn't like having to wait in line for stations and not getting enough food to eat. With the money that I spent on a ticket, I should have had much more food to eat. People like to mingle and I didn't want to keep leaving people to go find food."
1590568129,NULL
1590598894,The choice/type of food.
1590579662,n/a
1590559268,Food choices
1590608545,feeling of being in a heard regarding drink and desert Event staff WAS NOT INFORMED NOR CARED - WAS TOLD SEVERA TIMES THAT I AM A TEMP AND DON'T KNOW
1590613404,Everything was great.
1590613818,lines for drinks
1590599967,Picketers outside
1590578615,the drink lines
1590608685,Food
1590569994,There really wasn't anything that I did not like about the evening.
1590601581,I did not care for the food choices this year or the selection of food.
1590601045,NULL
1590607505,no comment
1590575512,A little too much air conditioning
1590576767,Parking rip off by the Hilton Garden Lot afterwards!
1590599934,love everything
1590601383, everything was perfect
1590604908,loved everything
1590608842,The protesters picketing outside blocked the entire sidewalk forcing us to step into the street to enter
1590580009,maybe the wait at the drink line
1590576759,the line at the bar
1590601201,Parking
1590605756,UNION Picketers at entrance
1590604742,n/a
1590603512,nothing in particular
1590598993,na
1590613396,Lines
1590609113,n/a
1590604163,Walk between two ends of convention center.
1590605160,Lines are still too long at bars
1590597995,"Nothing, loved every minute."
1590606861,"Being unable to sit inside the Rolls Royce, Maserati, Bently - I could have sworn we did at one time."
1590604627,drink lines
1590610475,It was a little crowded
1590606549,Red wine
1590580652,"some of the food tables were too close to the car displays or activities surranding the cars, :ie jeep ride.too many people in that one area."
1590569960,Lines
1590579175,TOO COOL
1590606739,The wait for some of the food stations.
1590600831,Nothing!
1590605368,the moronic protesters out front
1590604080,.
1590594943,difficult to find entrances with a cab
1590581254,lots of walking
1590599660,Notbjng
1590611382,N/a
1590614295,The setup of the dessert area
1590610137,demonstrators on arrival
1590614113,"Nothing, everything was great"
1590607877,"When we first arrived around 7:30, many of the carving food stations did not have any food"
1590600104,The cold food was served frozen and the hot food was served cold. The different exhibits were way too far apart from one another.
1590559409,food
1590605541,The food ended at 10:30pm!!
1590602118,The cold walk from parking lot
1590608602,Not enough tables to eat at
1590602316,The food and drink lines were a bit long.
1590599538,The union outside rioting
1590606804,placement of the bar
1590604205,night goes too fast
1590605228,nothing
1590603991,The food and drink lines are to long
1590607331,The food was disappointing.
1590602779,NULL
1590599413,It was hard to find a cup of coffee
1590552883,Seems less of a party atmosphere in the main floor this year.  Need some music up there.  I didn't like that the high end cars were in the middle of everything.  It's nice when they are in a separate room.
1590607976,not a great variety of food or places to sit
1590549210,"Couldn't find valet. Long,cold,dark walk from parking lot for women"
1590605517,Nothing comes to mind
1590581122,I thought that the food was less than what I come to expect from Garces Group.
1590599900,the food! we coudnt find a lot of food and came back and it was closed
1590614360,Some of the food stations had very long lines.My food choices were determined by the lines.The line for the entrance photo was very long.
1590599082,Ran out of champagne.  The never ending challenge of trying to find dress shoes that allow me to wall the distance of the event.
1590610590,lots of walking
1590609774,709 Comly Cir
1590610244,Actually it's not the Black Tie Tailgate that I don't like it's the weather outside the Philadelphia Convention Center because it's too cold outside that it's hard to walk going to the parking lot although the parking lot is not too far from the place.
1590606267,The selection of wine and beer
1590602258,The food selection this year.
1590614733,"My feet hurt due to dancing and walking around in  high heels, other than that it was awesome."
1590602282,food
1590600997,food
1590549087,desserts were not good
1590579001,A lot of walking
1590604882,N/a
1590604866,Need a few more sitting areas.
1590598944,This year it was the Picketers outside.  Police / Security really did not have a role in making the crosswalk and entrance passable.
1590609121,It was chilly.
1590576007,The food. We thought it was flavorful but not the right type of food for this event. Appetizers of many different kinds would of given more variety and much easier to eat. It was hard to slice pork with plastic utensils and I don't think eggplant and asparagus are the most popular vegetables people eat.
1590549624,Everything was great
1590549632,There was nothing I disliked
1590560613,nothing
1590573145,Limited seating and long beverage sevice wait.
1590605962,The people on strike outside.
1590614451,"The shuttle and ""paparazzi"" experience was meh."
1590610186,Parking.
1590578771,There was little to no interaction with the people representing the cars and there was no WOW factor.  I had nothing to tell anyone the next day - the event left me with nothing to say buy I saw a bunch of cars...
1590577476,No social aspect. No networking ability.
1590551778,The price of the parking parking.
1590599215,The long wait for the car in the morning by the valet .
1590603264,The amount of food.
1590611283,Nothing
1590559011,parking
1590557619,parking prices
1590604759,liked everything
1590599249,all the walking in dress attire
1590605889,Nothing
1590613586,Nothing
1590580215,"Long lines for drinks, the desserts were not that great. Staff gave us wrong information about where are coat check was twice and we had to walk a long way."
1590549020,Parking discount did not work and there was no recourse.  I paid twice the discount rate.
1590605731,The food wasn't up to par with previous years.  There were some absolute misses - including the chickpea hot hors d'oeuvres.
1590605046,The events were not well advertised
1590607687,Lines were long for food and drink
1590594901,NOTHING
1590599066,drinks
1590576718,Dessert
1590606150,"That I couldn remember past 10:30, wink wink"
1590548964,NULL
1590603553,traffic for the valet but believe it was due to protestors
1590599793,n/a
1590608578,Nothing.
1590600781,"Food was not as good as last year.  In addition, the valet put the wrong ticket in our car and was unable to locate our car for 1 hour so we had to wait an additional hour before we could leave the event."
